Date,Time,Activity,Category,Productivity,Time Spent (seconds)
2026-02-06,17:47:30,VS Code,Software Development,2,975
2026-02-06,18:03:45,VS Code,Software Development,2,304
2026-02-06,18:08:50,VS Code,Software Development,2,427
2026-02-06,18:15:58,github.com,Software Development,2,509
2026-02-06,18:24:27,VS Code,Software Development,2,988
2026-02-06,18:40:56,github.com,Software Development,2,1290
2026-02-06,19:02:26,VS Code,Software Development,2,1299
2026-02-06,19:24:06,github.com,Software Development,2,1374
2026-02-06,23:49:06,VS Code,Software Development,2,1140
2026-02-07,00:08:07,VS Code,Software Development,2,1474
2026-02-07,00:32:42,VS Code,Software Development,2,1020
2026-02-07,00:49:42,terminal,Software Development,2,313
2026-02-07,04:56:13,VS Code,Software Development,2,489
2026-02-07,05:04:23,slack.com,Communication,0,655
2026-02-07,05:15:18,VS Code,Software Development,2,1354
2026-02-07,05:37:53,slack.com,Communication,0,1071
2026-02-07,05:55:45,VS Code,Software Development,2,895
2026-02-07,06:10:40,VS Code,Software Development,2,559
2026-02-07,06:20:00,VS Code,Software Development,2,1444
2026-02-07,06:44:05,VS Code,Software Development,2,879
2026-02-07,06:58:44,VS Code,Software Development,2,801
2026-02-07,07:12:06,VS Code,Software Development,2,331
2026-02-07,07:17:37,VS Code,Software Development,2,1242
2026-02-07,07:38:19,VS Code,Software Development,2,729
2026-02-07,07:50:29,github.com,Software Development,2,1319
2026-02-07,08:12:29,VS Code,Software Development,2,1316
2026-02-07,08:34:25,github.com,Software Development,2,312
2026-02-07,08:39:37,terminal,Software Development,2,88
2026-02-07,08:41:05,stackoverflow.com,Reference & Learning,1,205
2026-02-07,08:44:31,mail.google.com,Communication,0,183
2026-02-07,08:47:35,youtube.com,Entertainment,-2,53
2026-02-07,08:48:28,twitter.com,Social Media,-2,34
2026-02-07,08:49:03,VS Code,Software Development,2,226
2026-02-07,08:52:49,twitter.com,Social Media,-2,241
2026-02-07,08:56:51,VS Code,Software Development,2,226
2026-02-07,09:00:38,VS Code,Software Development,2,325
2026-02-07,09:06:03,mail.google.com,Communication,0,131
2026-02-07,09:08:15,VS Code,Software Development,2,262
2026-02-07,09:12:37,terminal,Software Development,2,176
2026-02-07,09:15:33,stackoverflow.com,Reference & Learning,1,126
2026-02-07,09:17:40,stackoverflow.com,Reference & Learning,1,265
2026-02-07,09:22:06,stackoverflow.com,Reference & Learning,1,321
2026-02-07,09:27:27,terminal,Software Development,2,291
